Incident_Id,Location,Cluster
190937,Residence/Home,Residential or Community Center
190938,Convenience Store,Store and Commercial Buildings
190939,School-Elementary/Secondary,Educational Buildings
190766,Residence/Home,Residential or Community Center
190949,Restaurant,Store and Commercial Buildings
190954,Residence/Home,Residential or Community Center
190955,Commercial/Office Building,Store and Commercial Buildings
190957,Residence/Home,Residential or Community Center
190958,Service/Gas Station,"Highway, Road or Other Open Space"
190807,Residence/Home,Residential or Community Center
190809,Convenience Store,Store and Commercial Buildings
190810,Air/Bus/Train Terminal,Transportation Terminals
190811,Residence/Home,Residential or Community Center
190812,Park/Playground,Public Places and Recreation Sites
190813,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190814,Construction Site,Industrial
190817,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
190818,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190819,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
190820,Residence/Home,Residential or Community Center
190822,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190823,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190824,Residence/Home,Residential or Community Center
190825,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
190826,Residence/Home,Residential or Community Center
190827,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
190828,School-Elementary/Secondary,Educational Buildings
190830,Grocery/Supermarket,Store and Commercial Buildings
190832,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
190833,Residence/Home,Residential or Community Center
190838,Residence/Home,Residential or Community Center
190839,Residence/Home,Residential or Community Center
190840,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190841,Department/Discount Store,Store and Commercial Buildings
190842,Residence/Home,Residential or Community Center
190843,Department/Discount Store,Store and Commercial Buildings
190844,Field/Woods,Public Places and Recreation Sites
190845,Residence/Home,Residential or Community Center
190846,Residence/Home,Residential or Community Center
190849,Field/Woods,Public Places and Recreation Sites
190851,Air/Bus/Train Terminal,Transportation Terminals
190960,Residence/Home,Residential or Community Center
190962,Residence/Home,Residential or Community Center
190963,Residence/Home,Residential or Community Center
190965,Residence/Home,Residential or Community Center
191009,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
191016,Residence/Home,Residential or Community Center
191017,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
191018,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
191021,Residence/Home,Residential or Community Center
191023,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190940,School-College/University,Educational Buildings
190941,Residence/Home,Residential or Community Center
190781,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190783,Other/Unknown,Other/Unknown
190785,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190787,Restaurant,Store and Commercial Buildings
190788,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190791,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
190792,Residence/Home,Residential or Community Center
190793,Residence/Home,Residential or Community Center
190795,Commercial/Office Building,Store and Commercial Buildings
191006,Government/Public Building,Goverment Buildings
190932,Residence/Home,Residential or Community Center
190964,School-Elementary/Secondary,Educational Buildings
190966,Residence/Home,Residential or Community Center
190967,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190968,School-Elementary/Secondary,Educational Buildings
190877,School-College/University,Educational Buildings
190878,School-College/University,Educational Buildings
190985,Residence/Home,Residential or Community Center
191003,School-College/University,Educational Buildings
190992,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190993,Residence/Home,Residential or Community Center
190747,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
191000,Residence/Home,Residential or Community Center
190999,School-Elementary/Secondary,Educational Buildings
190956,Residence/Home,Residential or Community Center
191001,Residence/Home,Residential or Community Center
191005,Construction Site,Industrial
190969,Air/Bus/Train Terminal,Transportation Terminals
190970,Service/Gas Station,"Highway, Road or Other Open Space"
190971,Restaurant,Store and Commercial Buildings
190972,Residence/Home,Residential or Community Center
190973,Residence/Home,Residential or Community Center
190974,Government/Public Building,Goverment Buildings
190975,Residence/Home,Residential or Community Center
190976,Hotel/Motel/Etc.,Store and Commercial Buildings
190977,Residence/Home,Residential or Community Center
190978,School-College/University,Educational Buildings
190979,School-College/University,Educational Buildings
190980,Residence/Home,Residential or Community Center
190981,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190982,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
190983,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190984,Hotel/Motel/Etc.,Store and Commercial Buildings
190988,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190751,School-Elementary/Secondary,Educational Buildings
190753,Air/Bus/Train Terminal,Transportation Terminals
191020,Government/Public Building,Goverment Buildings
191022,Restaurant,Store and Commercial Buildings
357272,Residence/Home,Residential or Community Center
357280,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
357281,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
407359,Park/Playground,Public Places and Recreation Sites
369166,Residence/Home,Residential or Community Center
381434,Department/Discount Store,Store and Commercial Buildings
381435,Residence/Home,Residential or Community Center
381436,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
376315,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
376343,Residence/Home,Residential or Community Center
365719,Government/Public Building,Goverment Buildings
367613,Residence/Home,Residential or Community Center
357330,Residence/Home,Residential or Community Center
597073,Other/Unknown,Other/Unknown
597289,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
386599,School-Elementary/Secondary,Educational Buildings
507818,Residence/Home,Residential or Community Center
474611,School-Elementary/Secondary,Educational Buildings
406644,Residence/Home,Residential or Community Center
474631,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
366889,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
507795,Commercial/Office Building,Store and Commercial Buildings
600306,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
600326,Convenience Store,Store and Commercial Buildings
357422,School-Elementary/Secondary,Educational Buildings
357386,Residence/Home,Residential or Community Center
474619,Residence/Home,Residential or Community Center
386601,Park/Playground,Public Places and Recreation Sites
391203,Residence/Home,Residential or Community Center
194494,Residence/Home,Residential or Community Center
192242,Government/Public Building,Goverment Buildings
192243,Residence/Home,Residential or Community Center
194313,Government/Public Building,Goverment Buildings
194495,School/College,Educational Buildings
194496,Other/Unknown,Other/Unknown
190226,Other/Unknown,Other/Unknown
194314,Other/Unknown,Other/Unknown
190657,Grocery/Supermarket,Store and Commercial Buildings
193413,Grocery/Supermarket,Store and Commercial Buildings
192244,Residence/Home,Residential or Community Center
194406,School/College,Educational Buildings
190658,Drug Store/Doctor's Office/Hospital,Store and Commercial Buildings
192246,Restaurant,Store and Commercial Buildings
192247,School/College,Educational Buildings
192248,Residence/Home,Residential or Community Center
192249,Other/Unknown,Other/Unknown
192250,Grocery/Supermarket,Store and Commercial Buildings
192251,Government/Public Building,Goverment Buildings
192252,Other/Unknown,Other/Unknown
192253,Other/Unknown,Other/Unknown
192245,Convenience Store,Store and Commercial Buildings
191614,Government/Public Building,Goverment Buildings
194407,Residence/Home,Residential or Community Center
190659,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
194575,School/College,Educational Buildings
194576,School/College,Educational Buildings
194577,School/College,Educational Buildings
194578,School/College,Educational Buildings
194579,School/College,Educational Buildings
190215,Government/Public Building,Goverment Buildings
192254,Residence/Home,Residential or Community Center
192255,Residence/Home,Residential or Community Center
192256,Convenience Store,Store and Commercial Buildings
192258,Service/Gas Station,"Highway, Road or Other Open Space"
194497,Residence/Home,Residential or Community Center
194498,School/College,Educational Buildings
194581,Air/Bus/Train Terminal,Transportation Terminals
194691,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
192257,School/College,Educational Buildings
194580,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190216,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190217,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
190218,Residence/Home,Residential or Community Center
190660,Residence/Home,Residential or Community Center
192259,Residence/Home,Residential or Community Center
190220,Government/Public Building,Goverment Buildings
194583,Residence/Home,Residential or Community Center
194499,Residence/Home,Residential or Community Center
194408,School/College,Educational Buildings
194409,School/College,Educational Buildings
190227,Other/Unknown,Other/Unknown
194500,Other/Unknown,Other/Unknown
483037,Other/Unknown,Other/Unknown
194501,Other/Unknown,Other/Unknown
194584,School/College,Educational Buildings
192263,Residence/Home,Residential or Community Center
194502,Residence/Home,Residential or Community Center
194503,Other/Unknown,Other/Unknown
194504,Drug Store/Doctor's Office/Hospital,Store and Commercial Buildings
194410,Other/Unknown,Other/Unknown
190684,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
191615,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
192264,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
194411,Specialty Store,Store and Commercial Buildings
194412,Other/Unknown,Other/Unknown
190228,School/College,Educational Buildings
190699,Service/Gas Station,"Highway, Road or Other Open Space"
194315,Other/Unknown,Other/Unknown
194413,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
194414,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
194585,Other/Unknown,Other/Unknown
194316,Other/Unknown,Other/Unknown
194317,Other/Unknown,Other/Unknown
190229,Residence/Home,Residential or Community Center
190230,School/College,Educational Buildings
190231,Bar/Nightclub,Store and Commercial Buildings
190705,Other/Unknown,Other/Unknown
190706,School/College,Educational Buildings
191618,School/College,Educational Buildings
191619,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
191620,Drug Store/Doctor's Office/Hospital,Store and Commercial Buildings
191621,School/College,Educational Buildings
192265,Government/Public Building,Goverment Buildings
192266,Air/Bus/Train Terminal,Transportation Terminals
192267,Residence/Home,Residential or Community Center
194415,Other/Unknown,Other/Unknown
194416,School/College,Educational Buildings
194505,Grocery/Supermarket,Store and Commercial Buildings
194586,School/College,Educational Buildings
194587,Government/Public Building,Goverment Buildings
194588,School/College,Educational Buildings
194589,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
483060,Other/Unknown,Other/Unknown
191616,Residence/Home,Residential or Community Center
191617,Residence/Home,Residential or Community Center
191622,Rental Storage Facility,Store and Commercial Buildings
190232,Other/Unknown,Other/Unknown
190713,Residence/Home,Residential or Community Center
192268,Other/Unknown,Other/Unknown
190233,School/College,Educational Buildings
190714,School/College,Educational Buildings
192269,School/College,Educational Buildings
192270,Residence/Home,Residential or Community Center
194591,School/College,Educational Buildings
194592,School/College,Educational Buildings
194625,School-College/University,Educational Buildings
191624,Residence/Home,Residential or Community Center
191625,Convenience Store,Store and Commercial Buildings
190234,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190715,Residence/Home,Residential or Community Center
191623,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
194417,Other/Unknown,Other/Unknown
194590,Residence/Home,Residential or Community Center
194318,Residence/Home,Residential or Community Center
190723,School/College,Educational Buildings
194593,School/College,Educational Buildings
190725,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
191626,Residence/Home,Residential or Community Center
192271,Other/Unknown,Other/Unknown
190236,Residence/Home,Residential or Community Center
190765,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
190237,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
